claim_id,candidate_id,claim_type,claim_usage,metric_id,value,unit,display_value,formula,source_row_key,source_authority,verification_status,publication_status,central_candidate_id
V-036,A,CALC,HISTORICAL_ROBUSTNESS,same_direction_last4,1.0,quarters,1四半期,pre-registered candidate A historical calculation,candidate=A;metric=same_direction_last4;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-037,A,CALC,HISTORICAL_ROBUSTNESS,same_direction_last8,1.0,quarters,1四半期,pre-registered candidate A historical calculation,candidate=A;metric=same_direction_last8;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-038,A,CALC,HISTORICAL_ROBUSTNESS,same_direction_run_length,1.0,quarters,1四半期,pre-registered candidate A historical calculation,candidate=A;metric=same_direction_run_length;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-039,B,CALC,HISTORICAL_ROBUSTNESS,current_indicator_value,0.2275178182744595,composite_percentage_point_score,0.227518,pre-registered candidate B historical calculation,candidate=B;metric=current_indicator_value;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-040,B,CALC,HISTORICAL_ROBUSTNESS,historical_percentile,95.81749049429658,percentile,95.8パーセンタイル,pre-registered candidate B historical calculation,candidate=B;metric=historical_percentile;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-041,B,CALC,HISTORICAL_ROBUSTNESS,mad_robust_z,1.2339587549851738,robust_z,1.234,pre-registered candidate B historical calculation,candidate=B;metric=mad_robust_z;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-042,B,CALC,HISTORICAL_ROBUSTNESS,same_direction_last4,2.0,quarters,2四半期,pre-registered candidate B historical calculation,candidate=B;metric=same_direction_last4;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-043,B,CALC,HISTORICAL_ROBUSTNESS,same_direction_last8,3.0,quarters,3四半期,pre-registered candidate B historical calculation,candidate=B;metric=same_direction_last8;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-044,B,CALC,HISTORICAL_ROBUSTNESS,same_direction_run_length,2.0,quarters,2四半期,pre-registered candidate B historical calculation,candidate=B;metric=same_direction_run_length;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-045,C,CALC,HISTORICAL_ROBUSTNESS,current_indicator_value,0.9527703453520822,pre_registered_composite_score,0.952770,pre-registered candidate C historical calculation,candidate=C;metric=current_indicator_value;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-046,C,CALC,HISTORICAL_ROBUSTNESS,historical_percentile,100.0,percentile,100.0パーセンタイル,pre-registered candidate C historical calculation,candidate=C;metric=historical_percentile;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-047,C,CALC,HISTORICAL_ROBUSTNESS,mad_robust_z,1.468349139867838,robust_z,1.468,pre-registered candidate C historical calculation,candidate=C;metric=mad_robust_z;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-048,C,CALC,HISTORICAL_ROBUSTNESS,same_direction_last4,1.0,quarters,1四半期,pre-registered candidate C historical calculation,candidate=C;metric=same_direction_last4;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-049,C,CALC,HISTORICAL_ROBUSTNESS,same_direction_last8,1.0,quarters,1四半期,pre-registered candidate C historical calculation,candidate=C;metric=same_direction_last8;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-050,C,CALC,HISTORICAL_ROBUSTNESS,same_direction_run_length,1.0,quarters,1四半期,pre-registered candidate C historical calculation,candidate=C;metric=same_direction_run_length;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-051,C,CALC,HISTORICAL_ROBUSTNESS,small_capital_software_contribution_pct,73.37728570135934,%,73.377%,small-capital software yoy delta / all-capital software yoy delta,candidate=C;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-052,D,CALC,HISTORICAL_ROBUSTNESS,current_indicator_value,37.53678427452571,%,37.537%,pre-registered candidate D historical calculation,candidate=D;metric=current_indicator_value;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-053,D,CALC,HISTORICAL_ROBUSTNESS,historical_percentile,76.53061224489795,percentile,76.5パーセンタイル,pre-registered candidate D historical calculation,candidate=D;metric=historical_percentile;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-054,D,CALC,HISTORICAL_ROBUSTNESS,mad_robust_z,0.7497028368827884,robust_z,0.750,pre-registered candidate D historical calculation,candidate=D;metric=mad_robust_z;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-055,D,CALC,HISTORICAL_ROBUSTNESS,same_direction_last4,2.0,quarters,2四半期,pre-registered candidate D historical calculation,candidate=D;metric=same_direction_last4;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-056,D,CALC,HISTORICAL_ROBUSTNESS,same_direction_last8,3.0,quarters,3四半期,pre-registered candidate D historical calculation,candidate=D;metric=same_direction_last8;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-057,D,CALC,HISTORICAL_ROBUSTNESS,same_direction_run_length,1.0,quarters,1四半期,pre-registered candidate D historical calculation,candidate=D;metric=same_direction_run_length;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-058,E,CALC,HISTORICAL_ROBUSTNESS,current_indicator_value,38.12971010083251,%,38.130%,pre-registered candidate E historical calculation,candidate=E;metric=current_indicator_value;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-059,E,CALC,HISTORICAL_ROBUSTNESS,historical_percentile,94.44444444444444,percentile,94.4パーセンタイル,pre-registered candidate E historical calculation,candidate=E;metric=historical_percentile;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-060,E,CALC,HISTORICAL_ROBUSTNESS,mad_robust_z,3.317898343282108,robust_z,3.318,pre-registered candidate E historical calculation,candidate=E;metric=mad_robust_z;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-061,E,CALC,HISTORICAL_ROBUSTNESS,same_direction_last4,3.0,quarters,3四半期,pre-registered candidate E historical calculation,candidate=E;metric=same_direction_last4;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-062,E,CALC,HISTORICAL_ROBUSTNESS,same_direction_last8,3.0,quarters,3四半期,pre-registered candidate E historical calculation,candidate=E;metric=same_direction_last8;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-063,E,CALC,HISTORICAL_ROBUSTNESS,same_direction_run_length,2.0,quarters,2四半期,pre-registered candidate E historical calculation,candidate=E;metric=same_direction_run_length;period=20261,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-064,B,CALC,MARGIN_BRIDGE,aggregate_sales_scale_effect_oku_yen,1735.9020033259221,億円,"1,735.90億円",three-factor Shapley average over all six factor orders,capital=19;metric=aggregate_sales_scale_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-065,B,CALC,MARGIN_BRIDGE,industry_composition_effect_oku_yen,-1688.035013010718,億円,"-1,688.04億円",three-factor Shapley average over all six factor orders,capital=19;metric=industry_composition_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-066,B,CALC,MARGIN_BRIDGE,within_industry_margin_effect_oku_yen,-1636.7769903152075,億円,"-1,636.78億円",three-factor Shapley average over all six factor orders,capital=19;metric=within_industry_margin_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-067,B,CALC,MARGIN_BRIDGE,aggregate_sales_scale_effect_oku_yen,-742.1932202870921,億円,-742.19億円,three-factor Shapley average over all six factor orders,capital=24;metric=aggregate_sales_scale_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-068,B,CALC,MARGIN_BRIDGE,industry_composition_effect_oku_yen,-1255.5909144480393,億円,"-1,255.59億円",three-factor Shapley average over all six factor orders,capital=24;metric=industry_composition_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-069,B,CALC,MARGIN_BRIDGE,within_industry_margin_effect_oku_yen,9841.534134735124,億円,"9,841.53億円",three-factor Shapley average over all six factor orders,capital=24;metric=within_industry_margin_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-070,B,CALC,MARGIN_BRIDGE,aggregate_sales_scale_effect_oku_yen,1952.611089644939,億円,"1,952.61億円",three-factor Shapley average over all six factor orders,capital=25;metric=aggregate_sales_scale_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-071,B,CALC,MARGIN_BRIDGE,industry_composition_effect_oku_yen,3557.8929391593265,億円,"3,557.89億円",three-factor Shapley average over all six factor orders,capital=25;metric=industry_composition_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-072,B,CALC,MARGIN_BRIDGE,within_industry_margin_effect_oku_yen,14204.905971195723,億円,"14,204.91億円",three-factor Shapley average over all six factor orders,capital=25;metric=within_industry_margin_effect_oku_yen,e-Stat structured table 1 / audited Stage 2 calculation,PASS,INTERNAL,
V-073,A,CALC,PUBLICATION_DECISION,pattern_decision,,status_code,UNSTABLE_OR_NO_PATTERN,frozen Phase 2 pattern rule,candidate=A,current-vintage historical series,PASS,INTERNAL,
V-074,B,CALC,PUBLICATION_DECISION,pattern_decision,,status_code,RECENT_BUT_NOT_ESTABLISHED,frozen Phase 2 pattern rule,candidate=B,current-vintage historical series,PASS,INTERNAL,
V-075,C,CALC,PUBLICATION_DECISION,pattern_decision,,status_code,ONE_QUARTER_OUTLIER,frozen Phase 2 pattern rule,candidate=C,current-vintage historical series,PASS,INTERNAL,
V-076,D,CALC,PUBLICATION_DECISION,pattern_decision,,status_code,RECENT_BUT_NOT_ESTABLISHED,frozen Phase 2 pattern rule,candidate=D,current-vintage historical series,PASS,INTERNAL,
V-077,E,CALC,PUBLICATION_DECISION,pattern_decision,,status_code,UNSTABLE_OR_NO_PATTERN,frozen Phase 2 pattern rule,candidate=E,current-vintage historical series,PASS,INTERNAL,
